BGP Mux,Peer organization,Peer ASN,Peer IP address,IP version,Short description,Transit,Route Server,Session ID
amsterdam01,Bandwidth Technologies,25369,2001:7f8:1::a502:5369:1,IPv6,,False,False,165
amsterdam01,Facebook,32934,2001:7f8:1::a503:2934:1,IPv6,pr01.ams2,False,False,166
amsterdam01,Facebook,32934,2001:7f8:1::a503:2934:3,IPv6,pr02.ams2,False,False,167
amsterdam01,Facebook,32934,80.249.209.115,IPv4,pr01.ams2,False,False,168
amsterdam01,Facebook,32934,80.249.212.174,IPv4,pr02.ams2,False,False,169
amsterdam01,Facebook,32934,2001:7f8:1::a503:2934:2,IPv6,pr01.ams3,False,False,170
amsterdam01,Facebook,32934,2001:7f8:1::a503:2934:4,IPv6,pr02.ams3,False,False,171
amsterdam01,Facebook,32934,80.249.209.164,IPv4,pr01.ams3,False,False,172
amsterdam01,Facebook,32934,80.249.212.175,IPv4,pr02.ams3,False,False,173
amsterdam01,E4A,34695,80.249.208.74,IPv4,,False,False,28
amsterdam01,Amsterdam Internet Exchange,6777,80.249.209.0,IPv4,Route Server 2,False,True,29
amsterdam01,Amsterdam Internet Exchange,1200,80.249.209.1,IPv4,Administrative LAN,False,False,30
amsterdam01,Yahoo! Europe Ltd,10310,80.249.209.110,IPv4,,False,False,31
amsterdam01,CustodianDC,50300,80.249.211.14,IPv4,,False,False,179
amsterdam01,CustodianDC,50300,2001:7f8:1::a505:300:1,IPv6,,False,False,180
amsterdam01,Proximus Luxembourg,56665,80.249.211.94,IPv4,,False,False,139
amsterdam01,Biznet,17451,80.249.210.131,IPv4,,False,False,185
amsterdam01,Biznet,17451,2001:7f8:1::a501:7451:1,IPv6,,False,False,186
amsterdam01,Network Platforms,37497,80.249.213.88,IPv4,,False,False,187
amsterdam01,Network Platforms,37497,2001:7f8:1::a503:7497:1,IPv6,,False,False,188
amsterdam01,Hurricane Electric,6939,80.249.209.150,IPv4,,False,False,32
amsterdam01,SIDN,1140,2001:7f8:1::a500:1140:1,IPv6,,False,False,363
amsterdam01,Nianet,31027,2001:7f8:1::a503:1027:1,IPv6,,False,False,431
amsterdam01,Yahoo! Europe Ltd,10310,80.249.209.163,IPv4,,False,False,33
amsterdam01,MTS OJSC,8359,80.249.209.188,IPv4,,False,False,34
amsterdam01,OVH,16276,80.249.209.231,IPv4,,False,False,202
amsterdam01,OVH,16276,2001:7f8:1::a501:6276:1,IPv6,,False,False,203
amsterdam01,OVH,16276,80.249.209.245,IPv4,,False,False,204
amsterdam01,OVH,16276,2001:7f8:1::a501:6276:2,IPv6,,False,False,205
amsterdam01,FORTH,1241,2001:7f8:1::a500:1241:2,IPv6,,False,False,437
amsterdam01,Open Peering Initiative,20562,80.249.209.197,IPv4,,False,False,35
amsterdam01,Microsoft,8075,80.249.209.20,IPv4,,False,False,36
amsterdam01,FORTH,1241,80.249.211.255,IPv4,,False,False,436
amsterdam01,Akamai,20940,80.249.209.208,IPv4,,False,False,37
amsterdam01,Microsoft,8075,80.249.209.21,IPv4,,False,False,38
amsterdam01,Retn Ltd.,9002,80.249.209.216,IPv4,,False,False,39
amsterdam01,"TU Darmstadt, Hochschulrechenzentrum",8365,80.249.209.217,IPv4,,False,False,40
amsterdam01,Open Carrier,41692,80.249.209.221,IPv4,,False,False,41
amsterdam01,NTE.no,34087,80.249.213.73,IPv4,,False,False,218
amsterdam01,NTE.no,34087,2001:7f8:1::a503:4087:1,IPv6,,False,False,219
amsterdam01,BGPnet,64050,2001:7f8:1::a506:4050:1,IPv6,,False,False,435
amsterdam01,VeriSign,7342,80.249.209.232,IPv4,,False,False,42
amsterdam01,Packet Clearing House,3856,80.249.209.250,IPv4,,False,False,43
amsterdam01,MTS OJSC,8359,80.249.209.44,IPv4,,False,False,44
